"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Kuwait","414",29.31166,47.481766,58906,76339,112977,181462,196910,626594,0.07556098347700922,0.08849744236259038,0.11937969096555565,0.17612306699032862,0.17551322331384991,0.7556098347700922,0.8849744236259038,1.1937969096555565,1.7612306699032863,1.7551322331384993
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Kuwait","414",29.31166,47.481766,1666,1801,2388,3755,4073,13683,0.0026416517154095012,0.002736193843457504,0.0034978510260853706,0.005341819775479403,0.005698443039297963,0.02641651715409501,0.027361938434575038,0.034978510260853704,0.053418197754794026,0.056984430392979624
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Oman","512",21.512583,55.923255,17274,19887,25710,58468,74739,196078,0.008069231860558067,0.008691675218630575,0.010536186878072217,0.022566504087332385,0.027491928965702198,0.08069231860558068,0.08691675218630573,0.10536186878072216,0.22566504087332387,0.27491928965702206
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Oman","512",21.512583,55.923255,6412,10324,15904,36168,46233,115041,0.00822491810774086,0.011968293990638902,0.01680531971212014,0.03510387346610423,0.041209196350968584,0.0822491810774086,0.11968293990638902,0.1680531971212014,0.3510387346610423,0.4120919635096858
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Qatar","634",25.354826,51.183884,133562,64612,48072,43049,43839,333134,0.06239103541506639,0.028238875608495934,0.01970033355125195,0.01661533547334562,0.016125699754176787,0.6239103541506638,0.28238875608495934,0.19700333551251947,0.16615335473345624,0.16125699754176787
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Qatar","634",25.354826,51.183884,44593,54268,107963,148496,170052,525372,0.05720114990307052,0.06291121447927082,0.11408153496476525,0.14412698502053234,0.15157368671457422,0.5720114990307053,0.6291121447927082,1.1408153496476525,1.4412698502053234,1.515736867145742
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Qatar","634",25.354826,51.183884,2935,1725,1916,2291,2331,11198,0.004653810194914097,0.002620729805643639,0.0028064834865911097,0.0032591502278624,0.0032612498710050462,0.04653810194914097,0.02620729805643639,0.028064834865911097,0.032591502278624,0.03261249871005046
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Saudi Arabia","682",23.885942,45.079162,104750,129398,167772,214371,267776,884067,0.23002599216853178,0.27113553547822455,0.3396814009875648,0.4163841433375672,0.501235437084841,2.3002599216853175,2.711355354782246,3.396814009875648,4.163841433375672,5.01235437084841
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Saudi Arabia","682",23.885942,45.079162,668666,825998,1070951,1368407,1709318,5643340,0.3123550417547714,0.36100499558698734,0.4388852537245554,0.5281549250638683,0.6287540512422718,3.123550417547714,3.610049955869873,4.388852537245554,5.281549250638682,6.287540512422719
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Saudi Arabia","682",23.885942,45.079162,252250,311603,404010,516223,644828,2128914,0.3235707412160998,0.3612317233983973,0.42690626363767964,0.5010348062456516,0.5747592339801088,3.2357074121609983,3.612317233983973,4.2690626363767965,5.010348062456515,5.747592339801088
